No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
153,Sanitary,SNT058,"Customize clear trash bag size 40x50, thickes 50 mikron_Green",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
154,Sanitary,SNT059,"Customize clear trash bag size 40x50, thickes 50 mikron_Grey",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
155,Sanitary,SNT060,"Customize clear trash bag size 40x50, thickes 50 mikron_Yellow",Pack,,,,"Rp 15,000",Rp 15.000,NEW_ITEM,
156,Sanitary,SNT061,"Customize clear trash bag size 120x130, thickes 50 mikron_Grey",Pack,,,,"Rp 36,000",Rp 36.000,NEW_ITEM,
157,Sanitary,SNT062,WD-40 333ml,Unit,,,,"Rp 75,000",Rp 75.000,NEW_ITEM,
158,Sanitary,SNT063,10 Sheet Nappy Bag Travel Pikalula,Pack,,,Rp 17.500,"Rp 17,500",Rp 17.500,CARRY_FORWARD,
159,Sanitary,SNT064,Pepsodent travel kit soft toothbrush,Set,,,Rp 18.500,"Rp 18,500",Rp 18.500,CARRY_FORWARD,
160,Stationeries,STR001,Labeling tag size 121,Pack,Rp 5.000,Rp 5.000,Rp 5.300,"Rp 6,000",Rp 6.000,PRICE_UP,
161,Stationeries,STR002,Labeling tag size 107,Pack,Rp 5.000,Rp 5.000,Rp 5.200,"Rp 6,000",Rp 6.000,PRICE_UP,
162,Stationeries,STR003,Ballpoint Kenko type K-1,Pcs,Rp 5.000,Rp 5.000,Rp 5.000,"Rp 5,500",Rp 5.500,PRICE_UP,
163,Stationeries,STR004,Pulpen Multi Color - Zebra A4C 4 Warna,Pcs,,Rp 13.200,Rp 13.200,"Rp 13,500",Rp 13.500,PRICE_UP,
164,Stationeries,STR005,Balpoint Pilot G2,Pcs,,,Rp 17.400,"Rp 17,400",Rp 17.400,CARRY_FORWARD,
165,Stationeries,STR006,Pilot Pen Ballpoint BPT-P warna Hitam,Pcs,,Rp 2.300,Rp 2.300,"Rp 2,500",Rp 2.500,PRICE_UP,
166,Stationeries,STR007,Pilot Pen Ballpoint BPT-P warna biru,Pcs,,Rp 2.300,Rp 2.500,"Rp 2,800",Rp 2.800,PRICE_UP,
167,Stationeries,STR008,Pilot Pen Ballpoint BPT-P warna merah,Pcs,,Rp 2.800,Rp 2.800,"Rp 2,800",Rp 2.800,CARRY_FORWARD,
168,Stationeries,STR009,Battery ABC Alkaline AA isi 2/3,Pack,,Rp 17.500,,"Rp 18,000",Rp 18.000,PRICE_UP,
169,Stationeries,STR010,Battery Energizer Ultimate Lithium AA L91 1.5v,Pair,,Rp 84.000,,"Rp 85,000",Rp 85.000,PRICE_UP,
170,Stationeries,STR011,Battery ABC Alkaline AAA isi 2/3,Pack,Rp 17.000,Rp 17.000,,"Rp 17,800",Rp 17.800,PRICE_UP,
171,Stationeries,STR012,Battery Panasonic CR2032 (10 Pcs/Strip),Stripe,,Rp 80.000,,"Rp 85,000",Rp 85.000,PRICE_UP,
172,Stationeries,STR013,Battery Panasonic CR2450 (1 Pcs),Stripe,,,Rp 23.000,"Rp 25,000",Rp 25.000,PRICE_UP,
173,Stationeries,STR014,Battery Panasonic LR44 (10 Pcs/Strip),Stripe,,Rp 39.500,Rp 39.500,"Rp 40,000",Rp 40.000,PRICE_UP,
174,Stationeries,STR015,Battery Alkaline LR-61 9V,Pcs,,,Rp 37.000,"Rp 37,000",Rp 37.000,CARRY_FORWARD,
175,Stationeries,STR016,Battery ABC Type C,Pair,,,Rp 6.500,"Rp 12,000",Rp 12.000,PRICE_UP,
176,Stationeries,STR017,Binder Clip No.105 Joyko,Pack,,Rp 5.000,,"Rp 6,700",Rp 6.700,PRICE_UP,
177,Stationeries,STR018,Binder Clip No.111 Joyko,Pack,,,,"Rp 9,500",Rp 9.500,NEW_ITEM,
178,Stationeries,STR019,Binder Clip No.200 Joyko,Pack,,Rp 13.200,,"Rp 18,500",Rp 18.500,PRICE_UP,
